Coefficient,coef,se,pct_vs_ref,ci_low_pct,ci_high_pct
"C(country, contr.sum)[S.FI]",-0.08747491389813371,0.0030199869449260577,-8.375814370087998,-8.916551966321506,-7.831866562182732
"C(country, contr.sum)[S.SE]",-0.07094591127062048,0.0036460487987891714,-6.848772491963462,-7.5120820646747966,-6.180705761786887
"C(country, contr.sum)[S.NO]",-0.07039643315704103,0.005830054304023717,-6.797573866220774,-7.856527464761498,-5.726450303894126
"C(country, contr.sum)[S.DK]",-0.04089906443157037,0.0023185742940008275,-4.007398426384567,-4.442638042382252,-3.5701764040138695
"C(country, contr.sum)[S.NL]",-0.03865032358121076,0.001843550219582555,-3.7912930504677145,-4.138302280879536,-3.4430276832582485
"C(country, contr.sum)[S.AT]",-0.02530826752966267,0.0014079549291092714,-2.4990698012365975,-2.767761644757649,-2.2296354539123153
"C(country, contr.sum)[S.BE]",-0.022612344377541053,0.0012349116039668939,-2.2358601490801266,-2.4722049447405747,-1.9989426052876902
"C(country, contr.sum)[S.LU]",-0.021870282810086124,0.0015606518657523274,-2.1632862143878717,-2.4620995025703474,-1.8635574935301102
"C(country, contr.sum)[S.EE]",-0.02172452374788108,0.0037223858452306254,-2.1490245873818203,-2.8603352231542756,-1.432505339640966
"C(country, contr.sum)[S.SI]",-0.021270061509639185,0.001507778952942209,-2.104544907679806,-2.3934230695955905,-1.8148117768156613
"C(country, contr.sum)[S.IE]",-0.01792709327558601,0.0022475918865257323,-1.776735888763481,-2.208485192737031,-1.3430804126455698
"C(country, contr.sum)[S.CZ]",-0.016776430842812464,0.0012397700645192884,-1.6636490187973085,-1.9023112825920063,-1.424406112615384
"C(country, contr.sum)[S.LV]",-0.011044727208572212,0.0035853478449653967,-1.0983958140706296,-1.7909689514119975,-0.40093862945331793
"C(country, contr.sum)[S.DE]",-0.010677923219726736,0.0010936840040110599,-1.0621116569720646,-1.27396980440444,-0.8497988789367472
"C(country, contr.sum)[S.FR]",-0.0077017853769236096,0.0014587844507501823,-0.7672202623319246,-1.0505431311881974,-0.48308615255976406
"C(country, contr.sum)[S.IT]",-0.005793577637755008,0.0022098990122158472,-0.5776827230705495,-1.007389465178976,-0.1461107115928728
"C(country, contr.sum)[S.IS]",0.000970938919988044,0.01518330546796729,0.09714104337725793,-2.8377903566265683,3.120726482377778
"C(country, contr.sum)[S.ES]",0.0038627774924393605,0.0021159685940603185,0.3870247632817181,-0.028448047967133405,0.8042242423027091
"C(country, contr.sum)[S.HU]",0.011113591992622794,0.0014004278394396555,1.1175577370021061,0.8403869334720593,1.395490374720465
"C(country, contr.sum)[S.LT]",0.01509020723042683,0.0033771170275069466,1.5204639284134513,0.8507038794224542,2.194671923784308
"C(country, contr.sum)[S.PT]",0.029229306732326498,0.0030572842787482436,2.9660675531519853,2.350911269786904,3.584921089900228
"C(country, contr.sum)[S.PL]",0.032180207906170016,0.0016504197385828869,3.2703589889286455,2.9368374211124593,3.604961186760147
"C(country, contr.sum)[S.CY]",0.03300228352108622,0.008509498333849837,3.3552899378450185,1.6457625743274473,5.093568955466021
"C(country, contr.sum)[S.HR]",0.036426253479381845,0.003484626058164844,3.7097818841846264,3.0038712416231794,4.420530304484682
"C(country, contr.sum)[S.BG]",0.043509775189056146,0.0018419824543020609,4.447020415583358,4.070616712004016,4.8247855000456585
"C(country, contr.sum)[S.GR]",0.05714286064018515,0.005860706454841555,5.880706144596259,4.671414950136832,7.103968538295646
"C(country, contr.sum)[S.RO]",0.0711282238755763,0.003211581490902057,7.371889343983029,6.698138296907308,8.049894827740435
"C(country, contr.sum)[S.MT]",0.17684996634428482,0.0051943521884846465,19.345202172436625,18.13632119703703,20.56645354500004
