Coefficient,coef,se,pct_vs_ref,ci_low_pct,ci_high_pct
country::FI,-0.11670422063049433,0.004810276530504165,-11.015164697232239,-11.850183835405403,-10.172235650775052
country::SE,-0.10017521800297005,0.0061204191773114045,-9.532111188038794,-10.610882516490584,-8.440320964089986
country::NO,-0.09962573988939304,0.007950246585566489,-9.482387403340475,-10.88194398793474,-8.060851449793006
country::DK,-0.07012837116393393,0.004627722224380542,-6.772586489175514,-7.614367025953072,-5.923135988472971
country::NL,-0.0678796303135605,0.003610065388208981,-6.562706301407228,-7.221509686245053,-5.899224872139008
country::AT,-0.05453757426201139,0.0027009720450296825,-5.3077071740839195,-5.807674638425409,-4.8050859110975725
country::BE,-0.05184165110988571,0.002722594561254947,-5.052079608215198,-5.557399339613012,-4.544056139000407
country::LU,-0.05109958954243267,0.0027976246164119886,-4.981596257324283,-5.501189020078135,-4.459146562971972
country::EE,-0.05095383048022221,0.006060178827224343,-4.967745454486527,-6.089856487568646,-3.8322265708414016
country::SI,-0.050499368241988224,0.00273805113821455,-4.924547068107166,-5.433410464853427,-4.412945474310326
country::SK,-0.048662036181129784,0.0036069277901572376,-4.7497013145672895,-5.420706120055807,-4.0739359803148245
country::IE,-0.047156400007933384,0.004059623437830389,-4.606181001784149,-5.362204672565651,-3.8441177588760422
country::CZ,-0.0460057375751668,0.002962946086337628,-4.496351741861105,-5.049369831336358,-3.940112725818601
country::LV,-0.04027403394091974,0.006254106110449162,-3.9473813692327164,-5.117611952185285,-2.762717764035927
country::DE,-0.039907229952077176,0.0026597751898969645,-3.9121424230822655,-4.4117603130107375,-3.409913144590171
country::FR,-0.03693109210927135,0.002429757053946671,-3.6257457473151122,-4.08362001638809,-3.1656857322171605
country::IT,-0.03502288437010338,0.002196873140317541,-3.441668076131388,-3.8565419937938494,-3.025003913234081
country::IS,-0.028258367812344077,0.017272990087631036,-2.7862834601256603,-6.022371655996661,0.5612383502767049
country::ES,-0.025366529239907874,0.0018629889685174137,-2.5047502067037986,-2.8601008844721054,-2.148099608868248
country::HU,-0.01811571473972562,0.003247994043184141,-1.7952611574661437,-2.4184534875988817,-1.168088887537222
country::LT,-0.014139099501922412,0.005745006585645619,-1.4039611874995583,-2.5079463576499927,-0.2874746573882092
country::PL,0.0029509011738209348,0.0028626392158402443,0.2955259368502716,-0.26563373648352817,0.8598429990638756
country::CY,0.0037729767887406504,0.007266741237635422,0.3780103425724768,-1.0415218083567823,1.8179052917616012
country::HR,0.00719694674703421,0.0038366393837746655,0.7222907009112989,-0.032281432940239885,1.4825584644455603
country::BG,0.014280468456695634,0.0029921640213783963,1.438292145772535,0.845133959942368,2.034939212221931
country::GR,0.027913553907840335,0.0035753265522247705,2.8306787475764983,2.112597332209276,3.5538098916997107
country::RO,0.041898917143227264,0.003659310196900459,4.278906532537352,3.5336680673822896,5.029509246639763
country::MT,0.14762065961194798,0.005611818897699952,15.907312970681687,14.63941499823056,17.189233740340626
